epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7469,1.02531,3.03335,1.24516,0.44154,0.67986,0.52642,0.31663,1.02756,2.93412,1.06793,0.000404762,0.000404762,0.000404762
2,38.7778,0.92065,1.8358,1.14288,0.81267,0.60733,0.77841,0.54074,1.09813,2.25787,1.08878,0.000813296,0.000813296,0.000813296
3,56.6523,0.96108,1.69765,1.15919,0.59457,0.88823,0.81758,0.59824,1.00894,1.63294,1.18437,0.00121358,0.00121358,0.00121358
4,74.1418,0.92429,1.5716,1.13337,0.89628,0.60739,0.79575,0.58494,1.05913,1.55215,1.17129,0.00121287,0.00121287,0.00121287
5,93.2311,0.94989,1.42348,1.15605,0.83787,0.92505,0.96836,0.68403,1.00669,1.01465,1.17578,0.0012005,0.0012005,0.0012005
6,113.092,0.89287,1.24138,1.10273,0.96397,0.93881,0.98662,0.70543,1.0243,1.05568,1.15611,0.00118812,0.00118812,0.00118812
7,133.026,0.87479,1.21096,1.09314,0.97427,0.96076,0.98455,0.74647,0.88569,0.81514,1.1451,0.00117575,0.00117575,0.00117575
8,152.62,0.88268,1.20095,1.13,0.93971,0.99444,0.98795,0.72858,0.91892,0.80841,1.09695,0.00116337,0.00116337,0.00116337
9,172.328,0.87693,1.06784,1.09401,0.95734,0.97396,0.98396,0.73403,0.89962,0.77086,1.1493,0.001151,0.001151,0.001151
10,192.262,0.79768,0.99312,1.06383,0.92688,0.95556,0.98105,0.73351,0.87354,0.80233,1.14503,0.00113863,0.00113863,0.00113863
11,210.288,0.82395,0.97921,1.10089,0.96263,0.97654,0.98317,0.73653,0.84421,0.72133,1.07344,0.00112625,0.00112625,0.00112625
12,227.963,0.7786,0.91552,1.06048,0.93084,0.96185,0.9693,0.75365,0.84215,0.66697,1.09702,0.00111388,0.00111388,0.00111388
13,245.374,0.75817,0.85015,1.04007,0.949,0.92778,0.95298,0.7798,0.79777,0.67562,1.08214,0.0011015,0.0011015,0.0011015
